商品ID,商品名称,商品类别,价格,品牌,上架时间,销量,库存,商品描述,平均评分
P001,iPhone 15 Pro,电子产品,2999,苹果,2023-09-15,1250,89,最新款苹果手机 128GB,4.8
P002,优衣库羊毛大衣,服装,199,优衣库,2023-10-01,890,156,秋冬保暖羊毛大衣,4.5
P003,《Python编程入门》,图书,45,人民邮电出版社,2023-08-20,567,234,编程学习必备书籍,4.7
P004,兰蔻粉底液,美妆,89,兰蔻,2023-09-10,445,78,持久遮瑕粉底液,4.6
P005,耐克运动鞋,运动,599,耐克,2023-10-05,678,123,透气舒适跑步鞋,4.4
P006,宜家书桌,家居,299,宜家,2023-09-25,234,67,简约现代办公书桌,4.3
P007,MacBook Air M2,电子产品,3999,苹果,2023-08-15,456,45,轻薄便携笔记本电脑,4.9
P008,ZARA连衣裙,服装,329,ZARA,2023-10-10,567,89,时尚优雅连衣裙,4.2
P009,《数据分析实战》,图书,59,机械工业出版社,2023-09-05,345,178,数据科学学习指南,4.6
P010,雅诗兰黛口红,美妆,159,雅诗兰黛,2023-09-20,789,134,经典红色口红,4.7
P011,阿迪达斯运动裤,运动,299,阿迪达斯,2023-10-15,456,167,舒适运动休闲裤,4.3
P012,无印良品沙发,家居,399,无印良品,2023-08-30,123,34,简约舒适布艺沙发,4.5
P013,华为Mate 60,电子产品,1299,华为,2023-09-12,678,98,国产旗舰智能手机,4.6
P014,迪奥香水,美妆,129,迪奥,2023-10-08,234,56,经典女士香水,4.8
P015,H&M牛仔裤,服装,299,H&M,2023-09-28,567,145,经典修身牛仔裤,4.1
P016,小米平板,电子产品,1599,小米,2023-10-12,345,78,高性能学习平板,4.4
P017,Mango外套,服装,399,Mango,2023-10-20,234,67,时尚休闲外套,4.3
P018,SK-II神仙水,美妆,159,SK-II,2023-09-18,456,89,经典护肤精华,4.9
P019,戴尔显示器,电子产品,899,戴尔,2023-09-22,234,123,27寸4K显示器,4.5
P020,COS毛衣,服装,399,COS,2023-10-25,345,78,高品质羊毛毛衣,4.6
P021,索尼耳机,电子产品,1299,索尼,2023-09-30,567,145,降噪无线耳机,4.7
P022,香奈儿面霜,美妆,199,香奈儿,2023-10-03,123,45,奢华抗衰老面霜,4.8
P023,李宁篮球鞋,运动,399,李宁,2023-10-18,456,89,专业篮球运动鞋,4.2
P024,欧莱雅洗发水,美妆,99,欧莱雅,2023-09-15,789,234,修护滋养洗发水,4.4
P025,宜家餐桌,家居,399,宜家,2023-10-22,234,56,实木餐桌四人座,4.3
P026,资生堂防晒霜,美妆,129,资生堂,2023-09-25,345,78,SPF50+防晒霜,4.5
P027,Massimo Dutti衬衫,服装,459,Massimo Dutti,2023-10-28,123,34,商务正装衬衫,4.7
P028,GAP卫衣,服装,299,GAP,2023-10-30,456,123,舒适休闲卫衣,4.1
P029,安踏跑步鞋,运动,459,安踏,2023-11-02,234,67,专业跑步运动鞋,4.3
P030,倩碧卸妆油,美妆,119,倩碧,2023-10-05,567,145,温和深层卸妆,4.6
P031,彪马运动背心,运动,199,彪马,2023-11-05,345,89,透气运动背心,4.2
P032,《机器学习实战》,图书,89,清华大学出版社,2023-09-08,234,156,AI学习经典教材,4.8
P033,Under Armour紧身裤,运动,299,Under Armour,2023-11-08,456,78,专业运动紧身裤,4.4
P034,New Balance慢跑鞋,运动,199,New Balance,2023-11-10,234,123,舒适慢跑鞋,4.3
P035,联想笔记本,电子产品,799,联想,2023-10-15,345,67,商务办公笔记本,4.2
P036,OPPO手机,电子产品,999,OPPO,2023-10-18,567,145,拍照智能手机,4.5
P037,ONLY连衣裙,服装,359,ONLY,2023-11-12,234,89,甜美淑女连衣裙,4.1
P038,Vero Moda上衣,服装,259,Vero Moda,2023-11-15,345,78,时尚女士上衣,4.3
P039,顾家家居茶几,家居,199,顾家家居,2023-10-20,123,45,现代简约茶几,4.4
P040,红星美凯龙床垫,家居,359,红星美凯龙,2023-10-25,234,56,舒适记忆棉床垫,4.6
P041,曲美家具衣柜,家居,249,曲美家具,2023-11-18,156,34,实木衣柜大容量,4.5
P042,《深度学习》,图书,79,人民邮电出版社,2023-09-12,345,189,深度学习理论与实践,4.7
P043,林氏木业电视柜,家居,299,林氏木业,2023-11-20,234,67,现代电视柜储物,4.2
P044,《算法导论》,图书,109,机械工业出版社,2023-09-18,234,145,计算机算法经典,4.8
P045,vivo手机,电子产品,1599,vivo,2023-11-22,456,89,5G智能手机,4.3
P046,锐步健身器材,运动,359,锐步,2023-11-25,123,45,家用健身器材,4.1
P047,《统计学习方法》,图书,69,清华大学出版社,2023-09-22,456,178,统计学习理论,4.9
P048,《Python数据科学》,图书,99,人民邮电出版社,2023-09-28,234,156,数据科学实践指南,4.6
P049,《人工智能》,图书,129,机械工业出版社,2023-10-02,345,123,AI技术全面解析,4.7
P050,Tom Ford香水,美妆,179,Tom Ford,2023-11-28,89,23,奢华男士香水,4.8
